,RG,Sample,Chromosome,Start,End,Length.bp.,NumberofMarkers,Quality,Cummulative,Bold
36564,RG,SRR5168998_InnerMong,chr5,12059109,12437085,377977,1797,97.4,116249169,no
35714,RG,SRR5168998_InnerMong,chr30,22100085,22478162,378078,851,87.4,116627247,no
34400,RG,SRR5168998_InnerMong,chr19,12326287,12714980,388694,1473,96.3,117015941,no
34095,RG,SRR5168998_InnerMong,chr16,28297528,28691462,393935,2954,97.6,117409876,no
35723,RG,SRR5168998_InnerMong,chr30,25629114,26027743,398630,2856,98.3,117808506,no
36641,RG,SRR5168998_InnerMong,chr5,60329650,60740471,410822,1530,97.2,118219328,no
36643,RG,SRR5168998_InnerMong,chr5,61857509,62268830,411322,1370,97.4,118630650,no
36229,RG,SRR5168998_InnerMong,chr3,5093226,5509964,416739,2248,95.5,119047389,no
35999,RG,SRR5168998_InnerMong,chr34,26529474,26951389,421916,2439,97.5,119469305,no
33954,RG,SRR5168998_InnerMong,chr15,15082732,15506081,423350,1644,93.9,119892655,no
35372,RG,SRR5168998_InnerMong,chr27,39791048,40217944,426897,2412,96.4,120319552,no
36268,RG,SRR5168998_InnerMong,chr3,30643070,31073887,430818,2244,96.6,120750370,no
33441,RG,SRR5168998_InnerMong,chr10,7269716,7701642,431927,2588,97.9,121182297,no
36146,RG,SRR5168998_InnerMong,chr37,11117085,11551219,434135,1529,93.6,121616432,no
36382,RG,SRR5168998_InnerMong,chr3,88333637,88769926,436290,4521,98.2,122052722,no
35028,RG,SRR5168998_InnerMong,chr23,26825192,27263343,438152,1724,97.3,122490874,no
36443,RG,SRR5168998_InnerMong,chr4,37792458,38233092,440635,3258,97.5,122931509,no
35089,RG,SRR5168998_InnerMong,chr24,8821738,9262680,440943,1907,92.6,123372452,no
34939,RG,SRR5168998_InnerMong,chr22,41908265,42350001,441737,2883,97.4,123814189,no
35162,RG,SRR5168998_InnerMong,chr25,481090,925767,444678,1641,96.6,124258867,no
36421,RG,SRR5168998_InnerMong,chr4,24603253,25051725,448473,1557,97.4,124707340,no
34170,RG,SRR5168998_InnerMong,chr17,6876988,7327190,450203,2306,97.7,125157543,no
36100,RG,SRR5168998_InnerMong,chr36,16918296,17370152,451857,3024,98.3,125609400,no
36707,RG,SRR5168998_InnerMong,chr6,5385765,5842779,457015,2495,97.5,126066415,no
34712,RG,SRR5168998_InnerMong,chr20,26039986,26512946,472961,3474,98,126539376,no
33778,RG,SRR5168998_InnerMong,chr12,47826479,48305072,478594,2323,96.5,127017970,no
35187,RG,SRR5168998_InnerMong,chr25,17807209,18290049,482841,2354,93,127500811,no
33708,RG,SRR5168998_InnerMong,chr12,11477322,11973557,496236,1830,97.2,127997047,no
36818,RG,SRR5168998_InnerMong,chr6,74847248,75347920,500673,6328,98.5,128497720,no
33586,RG,SRR5168998_InnerMong,chr11,22314770,22817184,502415,2176,97.4,129000135,no
36886,RG,SRR5168998_InnerMong,chr7,41897733,42409085,511353,1304,87.9,129511488,no
34902,RG,SRR5168998_InnerMong,chr22,26880376,27395362,514987,2959,97.9,130026475,no
35280,RG,SRR5168998_InnerMong,chr26,21572330,22102833,530504,2047,97.5,130556979,no
34472,RG,SRR5168998_InnerMong,chr1,4431454,4968616,537163,1706,74.6,131094142,no
34997,RG,SRR5168998_InnerMong,chr23,12822156,13359817,537662,4328,98.3,131631804,no
33704,RG,SRR5168998_InnerMong,chr12,8051443,8595059,543617,3836,97,132175421,no
35112,RG,SRR5168998_InnerMong,chr24,24550122,25096871,546750,3047,97.2,132722171,no
36111,RG,SRR5168998_InnerMong,chr36,25240986,25788737,547752,3601,94.1,133269923,no
34252,RG,SRR5168998_InnerMong,chr17,51519732,52078855,559124,3684,98,133829047,no
33946,RG,SRR5168998_InnerMong,chr15,6041905,6602269,560365,1640,92.4,134389412,no
33558,RG,SRR5168998_InnerMong,chr11,2205676,2780617,574942,1363,94.7,134964354,no
34382,RG,SRR5168998_InnerMong,chr19,1658871,2237958,579088,3219,97,135543442,no
33939,RG,SRR5168998_InnerMong,chr15,659605,1260760,601156,2163,90.4,136144598,no
33443,RG,SRR5168998_InnerMong,chr10,8061887,8671109,609223,2919,97.9,136753821,no
36545,RG,SRR5168998_InnerMong,chr5,1526141,2167158,641018,3203,97.1,137394839,no
34062,RG,SRR5168998_InnerMong,chr16,8908741,9551062,642322,2038,95.7,138037161,no
34054,RG,SRR5168998_InnerMong,chr16,2335016,2979093,644078,3169,97.9,138681239,no
33477,RG,SRR5168998_InnerMong,chr10,29266628,29912242,645615,4576,98.3,139326854,no
36144,RG,SRR5168998_InnerMong,chr37,9660981,10308467,647487,3835,97.4,139974341,no
36627,RG,SRR5168998_InnerMong,chr5,49962883,50617527,654645,4258,98,140628986,no
34869,RG,SRR5168998_InnerMong,chr22,3208048,3863690,655643,2473,95.9,141284629,no
34378,RG,SRR5168998_InnerMong,chr18,54047524,54704756,657233,6056,98,141941862,no
34873,RG,SRR5168998_InnerMong,chr22,6285028,6950147,665120,2476,72.9,142606982,no
34340,RG,SRR5168998_InnerMong,chr18,35640870,36343201,702332,3838,96.7,143309314,no
36595,RG,SRR5168998_InnerMong,chr5,31334692,32038202,703511,2877,98.3,144012825,no
34255,RG,SRR5168998_InnerMong,chr17,52986678,53690304,703627,6426,97.9,144716452,no
37081,RG,SRR5168998_InnerMong,chr9,428655,1139002,710348,4943,94.8,145426800,no
33534,RG,SRR5168998_InnerMong,chr10,57107714,57826648,718935,4915,98.2,146145735,no
35916,RG,SRR5168998_InnerMong,chr33,14481393,15202783,721391,5027,98,146867126,no
34198,RG,SRR5168998_InnerMong,chr17,27914634,28646486,731853,5511,98.3,147598979,no
34057,RG,SRR5168998_InnerMong,chr16,4185682,4923741,738060,4013,98.1,148337039,no
36872,RG,SRR5168998_InnerMong,chr7,35351861,36106427,754567,4204,95.9,149091606,no
37177,RG,SRR5168998_InnerMong,chr9,54723858,55504613,780756,5445,98.4,149872362,no
33962,RG,SRR5168998_InnerMong,chr15,20064624,20856350,791727,2995,95,150664089,no
34380,RG,SRR5168998_InnerMong,chr19,477768,1287658,809891,4038,95.6,151473980,no
33790,RG,SRR5168998_InnerMong,chr12,53959816,54802091,842276,7166,98.5,152316256,no
34609,RG,SRR5168998_InnerMong,chr1,71204081,72049277,845197,3765,98.2,153161453,no
36626,RG,SRR5168998_InnerMong,chr5,49110843,49962278,851436,5664,98.4,154012889,no
36215,RG,SRR5168998_InnerMong,chr38,18733218,19593865,860648,7219,98.5,154873537,no
33823,RG,SRR5168998_InnerMong,chr14,1363802,2233515,869714,7449,98.2,155743251,no
34282,RG,SRR5168998_InnerMong,chr18,1985182,2938001,952820,7797,98.2,156696071,no
34893,RG,SRR5168998_InnerMong,chr22,19244479,20240056,995578,6493,98.2,157691649,no
34055,RG,SRR5168998_InnerMong,chr16,2980693,3991474,1010782,5202,98.3,158702431,no
35473,RG,SRR5168998_InnerMong,chr29,11109883,12147454,1037572,7842,98.3,159740003,no
35530,RG,SRR5168998_InnerMong,chr2,13284858,14346096,1061239,9088,98.5,160801242,no
36054,RG,SRR5168998_InnerMong,chr35,19022226,20093755,1071530,7655,98.5,161872772,no
35231,RG,SRR5168998_InnerMong,chr25,43547079,44679863,1132785,6493,98.5,163005557,no
33540,RG,SRR5168998_InnerMong,chr10,61705432,62881814,1176383,6226,98.5,164181940,no
35401,RG,SRR5168998_InnerMong,chr28,16095626,17370439,1274814,9774,98.6,165456754,no
34658,RG,SRR5168998_InnerMong,chr1,108206643,109530167,1323525,7926,98.2,166780279,no
34650,RG,SRR5168998_InnerMong,chr1,100713940,102102050,1388111,4594,97.7,168168390,no
35775,RG,SRR5168998_InnerMong,chr31,14890664,16330340,1439677,13182,98.8,169608067,no
34683,RG,SRR5168998_InnerMong,chr20,666531,2155489,1488959,4940,98.3,171097026,no
36705,RG,SRR5168998_InnerMong,chr6,2933415,4512208,1578794,4690,92,172675820,no
36440,RG,SRR5168998_InnerMong,chr4,35171515,36784716,1613202,8379,98.4,174289022,no
36758,RG,SRR5168998_InnerMong,chr6,37639385,39270476,1631092,5415,98.3,175920114,no
34467,RG,SRR5168998_InnerMong,chr1,238439,2182549,1944111,9706,97,177864225,no
36661,RG,SRR5168998_InnerMong,chr5,69728781,71697785,1969005,11659,98.4,179833230,no
35318,RG,SRR5168998_InnerMong,chr27,2706790,4683186,1976397,15506,98.8,181809627,no
33431,RG,SRR5168998_InnerMong,chr10,886318,2927032,2040715,7793,96.8,183850342,no
36953,RG,SRR5168998_InnerMong,chr8,4346831,6594639,2247809,13651,98.1,186098151,no
35163,RG,SRR5168998_InnerMong,chr25,926900,3175410,2248511,9231,98.6,188346662,no
35532,RG,SRR5168998_InnerMong,chr2,14460174,16767327,2307154,15755,98.8,190653816,no
33739,RG,SRR5168998_InnerMong,chr12,26367817,28754375,2386559,17831,98.8,193040375,no
36438,RG,SRR5168998_InnerMong,chr4,32521444,34941205,2419762,20545,98.7,195460137,no
36437,RG,SRR5168998_InnerMong,chr4,29851517,32515651,2664135,19427,98.8,198124272,no
35529,RG,SRR5168998_InnerMong,chr2,10213744,13282129,3068386,16863,98.6,201192658,no
36728,RG,SRR5168998_InnerMong,chr6,18570089,21673275,3103187,25000,98.9,204295845,no
35528,RG,SRR5168998_InnerMong,chr2,6766114,10209699,3443586,20750,98.7,207739431,no
35527,RG,SRR5168998_InnerMong,chr2,47914,3796272,3748359,16897,98.8,211487790,no
35164,RG,SRR5168998_InnerMong,chr25,3176171,8261281,5085111,22685,98.7,216572901,no
,,SRR5168998_InnerMong,,,,70531499,,100,216572901,no
40241,RG,SRR7107782_Portugal,chr5,3139923,3240039,100117,491,91.6,100117,no
38311,RG,SRR7107782_Portugal,chr1,85289058,85389228,100171,726,82.7,200288,no
40427,RG,SRR7107782_Portugal,chr5,85943551,86043796,100246,1002,91.2,300534,no
39743,RG,SRR7107782_Portugal,chr34,33520497,33620981,100485,661,93.7,401019,no
40318,RG,SRR7107782_Portugal,chr5,36798029,36898610,100582,526,91.9,501601,no
37277,RG,SRR7107782_Portugal,chr10,59562544,59663183,100640,664,86.3,602241,no
40873,RG,SRR7107782_Portugal,chr8,47234287,47334942,100656,434,71.4,702897,no
37201,RG,SRR7107782_Portugal,chr10,10934438,11035224,100787,763,92.9,803684,no
38697,RG,SRR7107782_Portugal,chr23,36072464,36173294,100831,885,95.3,904515,no
37565,RG,SRR7107782_Portugal,chr14,57057953,57158877,100925,1133,96.1,1005440,no
38480,RG,SRR7107782_Portugal,chr21,11246975,11347977,101003,698,94.8,1106443,no
40337,RG,SRR7107782_Portugal,chr5,48167974,48269201,101228,527,86.7,1207671,no
40685,RG,SRR7107782_Portugal,chr7,51536813,51638049,101237,688,86.3,1308908,no
37326,RG,SRR7107782_Portugal,chr11,14195555,14296818,101264,759,95.1,1410172,no
37443,RG,SRR7107782_Portugal,chr12,52996004,53097403,101400,742,95.2,1511572,no
40348,RG,SRR7107782_Portugal,chr5,52775829,52877236,101408,722,95.1,1612980,no
40271,RG,SRR7107782_Portugal,chr5,12944576,13045989,101414,542,85.3,1714394,no
38200,RG,SRR7107782_Portugal,chr1,27454249,27555686,101438,884,95.7,1815832,no
37653,RG,SRR7107782_Portugal,chr16,16842849,16944288,101440,1052,95.9,1917272,no
37645,RG,SRR7107782_Portugal,chr16,14173786,14275240,101455,592,92,2018727,no
37755,RG,SRR7107782_Portugal,chr16,54281192,54382805,101614,824,95.6,2120341,no
38557,RG,SRR7107782_Portugal,chr21,36790208,36891824,101617,879,95.5,2221958,no
38022,RG,SRR7107782_Portugal,chr18,44984201,45085837,101637,522,94.2,2323595,no
37372,RG,SRR7107782_Portugal,chr11,45688150,45789824,101675,666,93.7,2425270,no
39176,RG,SRR7107782_Portugal,chr2,7147687,7249641,101955,507,91.2,2527225,no
39653,RG,SRR7107782_Portugal,chr33,25558108,25660068,101961,629,94.5,2629186,no
38931,RG,SRR7107782_Portugal,chr26,33108397,33210802,102406,1123,90.5,2731592,no
37996,RG,SRR7107782_Portugal,chr18,34153723,34256144,102422,706,91.9,2834014,no
37297,RG,SRR7107782_Portugal,chr10,67143033,67245572,102540,897,91.1,2936554,no
39831,RG,SRR7107782_Portugal,chr35,22743452,22846138,102687,863,96.7,3039241,no
40832,RG,SRR7107782_Portugal,chr8,27618021,27720763,102743,786,91,3141984,no
38386,RG,SRR7107782_Portugal,chr1,116023540,116126392,102853,475,87.2,3244837,no
37728,RG,SRR7107782_Portugal,chr16,45841414,45944342,102929,533,84,3347766,no
39654,RG,SRR7107782_Portugal,chr33,26245426,26348359,102934,737,95,3450700,no
38365,RG,SRR7107782_Portugal,chr1,106797571,106900953,103383,456,90.6,3554083,no
37405,RG,SRR7107782_Portugal,chr11,67021767,67125258,103492,459,89.6,3657575,no
39467,RG,SRR7107782_Portugal,chr31,3529159,3632761,103603,730,92.3,3761178,no
38688,RG,SRR7107782_Portugal,chr23,32080258,32183865,103608,838,94.2,3864786,no
38138,RG,SRR7107782_Portugal,chr19,48247888,48351612,103725,944,93.2,3968511,no
40166,RG,SRR7107782_Portugal,chr4,39994012,40097737,103726,449,58.6,4072237,no
39280,RG,SRR7107782_Portugal,chr2,43031194,43134971,103778,436,43.4,4176015,no
38004,RG,SRR7107782_Portugal,chr18,37361197,37464987,103791,1162,94.3,4279806,no
40003,RG,SRR7107782_Portugal,chr3,27368475,27472288,103814,494,87.8,4383620,no
40989,RG,SRR7107782_Portugal,chr9,37539649,37643697,104049,810,94.7,4487669,no
38413,RG,SRR7107782_Portugal,chr20,4178417,4282490,104074,504,92.6,4591743,no
37533,RG,SRR7107782_Portugal,chr14,28480165,28584268,104104,770,94.4,4695847,no
40848,RG,SRR7107782_Portugal,chr8,33713429,33817539,104111,547,79,4799958,no
39614,RG,SRR7107782_Portugal,chr33,7485980,7590105,104126,879,96.1,4904084,no
40240,RG,SRR7107782_Portugal,chr5,2980918,3085153,104236,695,82.9,5008320,no
38582,RG,SRR7107782_Portugal,chr21,47011745,47116002,104258,1276,94.8,5112578,no
39979,RG,SRR7107782_Portugal,chr3,7231669,7336094,104426,464,92.6,5217004,no
40360,RG,SRR7107782_Portugal,chr5,57867717,57972428,104712,809,92.1,5321716,no
39516,RG,SRR7107782_Portugal,chr31,19993368,20098106,104739,1180,83.1,5426455,no
38789,RG,SRR7107782_Portugal,chr24,20315891,20420773,104883,347,73.5,5531338,no
40169,RG,SRR7107782_Portugal,chr4,41302490,41407681,105192,792,90.1,5636530,no
39649,RG,SRR7107782_Portugal,chr33,24045234,24150525,105292,609,94.3,5741822,no
39748,RG,SRR7107782_Portugal,chr34,34647443,34752787,105345,389,83.6,5847167,no
39054,RG,SRR7107782_Portugal,chr28,16912496,17017936,105441,810,94.7,5952608,no
37844,RG,SRR7107782_Portugal,chr17,37133297,37238815,105519,811,96.2,6058127,no
40768,RG,SRR7107782_Portugal,chr7,77951231,78056764,105534,753,94.4,6163661,no
37823,RG,SRR7107782_Portugal,chr17,28872344,28977994,105651,563,92.6,6269312,no
40524,RG,SRR7107782_Portugal,chr6,44813365,44919030,105666,917,92.9,6374978,no
40038,RG,SRR7107782_Portugal,chr3,44891543,44997255,105713,774,94.1,6480691,no
37190,RG,SRR7107782_Portugal,chr10,6556666,6662577,105912,701,93.1,6586603,no
37793,RG,SRR7107782_Portugal,chr17,15357430,15463362,105933,770,94.4,6692536,no
39237,RG,SRR7107782_Portugal,chr2,28152862,28258879,106018,496,48.7,6798554,no
38326,RG,SRR7107782_Portugal,chr1,91607393,91713433,106041,733,94.2,6904595,no
39496,RG,SRR7107782_Portugal,chr31,13196053,13302128,106076,654,94.4,7010671,no
37191,RG,SRR7107782_Portugal,chr10,7330878,7436963,106086,778,89.4,7116757,no
37322,RG,SRR7107782_Portugal,chr11,12910450,13016676,106227,758,95.2,7222984,no
40010,RG,SRR7107782_Portugal,chr3,32956351,33062596,106246,890,93.6,7329230,no
38072,RG,SRR7107782_Portugal,chr19,12249197,12355566,106370,590,91.6,7435600,no
38374,RG,SRR7107782_Portugal,chr1,111940081,112046508,106428,805,88.1,7542028,no
38941,RG,SRR7107782_Portugal,chr26,37240808,37347314,106507,748,95.1,7648535,no
38347,RG,SRR7107782_Portugal,chr1,99335467,99441977,106511,325,91.5,7755046,no
39185,RG,SRR7107782_Portugal,chr2,10912630,11019322,106693,544,91.7,7861739,no
40053,RG,SRR7107782_Portugal,chr3,48521300,48628208,106909,883,95.4,7968648,no
39878,RG,SRR7107782_Portugal,chr37,15922546,16029529,106984,485,94.5,8075632,no
39026,RG,SRR7107782_Portugal,chr28,868425,976001,107577,564,90.8,8183209,no
40037,RG,SRR7107782_Portugal,chr3,44181536,44289234,107699,677,94.9,8290908,no
37426,RG,SRR7107782_Portugal,chr12,8191574,8299594,108021,916,95.9,8398929,no
37740,RG,SRR7107782_Portugal,chr16,49164762,49273097,108336,867,74.9,8507265,no
38854,RG,SRR7107782_Portugal,chr24,46532165,46640920,108756,653,93.2,8616021,no
40407,RG,SRR7107782_Portugal,chr5,78058489,78167312,108824,374,40.4,8724845,no
39600,RG,SRR7107782_Portugal,chr33,1432204,1541103,108900,638,89,8833745,no
37511,RG,SRR7107782_Portugal,chr14,20130704,20239673,108970,545,93.4,8942715,no
40068,RG,SRR7107782_Portugal,chr3,54728878,54837924,109047,512,85.5,9051762,no
38598,RG,SRR7107782_Portugal,chr22,6876864,6986077,109214,367,70.4,9160976,no
39821,RG,SRR7107782_Portugal,chr35,19664616,19773951,109336,744,95.2,9270312,no
40237,RG,SRR7107782_Portugal,chr5,1016522,1125908,109387,437,87.4,9379699,no
40754,RG,SRR7107782_Portugal,chr7,75585418,75694899,109482,954,96.4,9489181,no
38440,RG,SRR7107782_Portugal,chr20,30859354,30968857,109504,734,79.6,9598685,no
39779,RG,SRR7107782_Portugal,chr35,3445861,3555568,109708,931,94,9708393,no
37217,RG,SRR7107782_Portugal,chr10,16606168,16715913,109746,317,8.9,9818139,no
37559,RG,SRR7107782_Portugal,chr14,48154393,48264344,109952,803,93.6,9928091,no
38752,RG,SRR7107782_Portugal,chr24,3810482,3920465,109984,493,74.4,10038075,no
40943,RG,SRR7107782_Portugal,chr9,3376000,3486004,110005,1050,95.9,10148080,no
38897,RG,SRR7107782_Portugal,chr25,51453981,51563990,110010,522,67.7,10258090,no
39435,RG,SRR7107782_Portugal,chr30,32122937,32232978,110042,366,91.7,10368132,no
40028,RG,SRR7107782_Portugal,chr3,40251878,40361946,110069,523,90.9,10478201,no
40430,RG,SRR7107782_Portugal,chr5,86356685,86466787,110103,1188,96.1,10588304,no
39843,RG,SRR7107782_Portugal,chr35,26059072,26169313,110242,1189,89.6,10698546,no
38713,RG,SRR7107782_Portugal,chr23,42622646,42732999,110354,774,92.9,10808900,no
37599,RG,SRR7107782_Portugal,chr15,13184204,13294645,110442,602,95,10919342,no
38709,RG,SRR7107782_Portugal,chr23,40372013,40482509,110497,820,78.8,11029839,no
38601,RG,SRR7107782_Portugal,chr22,7741062,7851582,110521,601,84.7,11140360,no
38171,RG,SRR7107782_Portugal,chr1,13571603,13682184,110582,728,52.9,11250942,no
37214,RG,SRR7107782_Portugal,chr10,15324665,15435266,110602,704,94.3,11361544,no
37327,RG,SRR7107782_Portugal,chr11,15588566,15699241,110676,870,93.5,11472220,no
39381,RG,SRR7107782_Portugal,chr2,81847564,81958292,110729,700,95.5,11582949,no
38585,RG,SRR7107782_Portugal,chr21,48017745,48128510,110766,1018,96,11693715,no
38638,RG,SRR7107782_Portugal,chr22,26252482,26363275,110794,846,94.8,11804509,no
38085,RG,SRR7107782_Portugal,chr19,24551390,24662591,111202,900,95.5,11915711,no
39224,RG,SRR7107782_Portugal,chr2,25369800,25481138,111339,876,95.1,12027050,no
40927,RG,SRR7107782_Portugal,chr8,72576690,72688035,111346,777,94,12138396,no
37648,RG,SRR7107782_Portugal,chr16,15179229,15290657,111429,411,92.7,12249825,no
40173,RG,SRR7107782_Portugal,chr4,43754341,43866097,111757,683,94.4,12361582,no
39705,RG,SRR7107782_Portugal,chr34,18553855,18665787,111933,635,85.2,12473515,no
40464,RG,SRR7107782_Portugal,chr6,15966695,16078671,111977,859,95.6,12585492,no
40560,RG,SRR7107782_Portugal,chr6,62320211,62432486,112276,457,82,12697768,no
38321,RG,SRR7107782_Portugal,chr1,90078101,90190677,112577,885,95.4,12810345,no
37673,RG,SRR7107782_Portugal,chr16,22851304,22964152,112849,643,89.5,12923194,no
38914,RG,SRR7107782_Portugal,chr26,28949127,29062016,112890,701,93.4,13036084,no
39206,RG,SRR7107782_Portugal,chr2,17493416,17606501,113086,440,74.3,13149170,no
37646,RG,SRR7107782_Portugal,chr16,14478927,14592149,113223,526,81.9,13262393,no
40231,RG,SRR7107782_Portugal,chr4,85149070,85262456,113387,1319,97.1,13375780,no
38747,RG,SRR7107782_Portugal,chr24,1523173,1636655,113483,562,79.9,13489263,no
37998,RG,SRR7107782_Portugal,chr18,34805148,34918641,113494,546,62.2,13602757,no
37488,RG,SRR7107782_Portugal,chr14,5812697,5926252,113556,462,79.3,13716313,no
38455,RG,SRR7107782_Portugal,chr20,55440825,55554461,113637,483,93.5,13829950,no
40213,RG,SRR7107782_Portugal,chr4,79449301,79563148,113848,839,94.2,13943798,no
40531,RG,SRR7107782_Portugal,chr6,47633290,47747213,113924,1018,96.6,14057722,no
38448,RG,SRR7107782_Portugal,chr20,34537879,34651824,113946,467,88.9,14171668,no
37205,RG,SRR7107782_Portugal,chr10,12574424,12688747,114324,634,93.9,14285992,no
39759,RG,SRR7107782_Portugal,chr34,37935588,38050050,114463,1152,96.4,14400455,no
38203,RG,SRR7107782_Portugal,chr1,28202074,28316594,114521,414,81.3,14514976,no
37406,RG,SRR7107782_Portugal,chr11,67491399,67605946,114548,654,92.1,14629524,no
38168,RG,SRR7107782_Portugal,chr1,13268363,13382967,114605,906,95.2,14744129,no
40480,RG,SRR7107782_Portugal,chr6,23175772,23290493,114722,464,88.8,14858851,no
40501,RG,SRR7107782_Portugal,chr6,33786945,33901774,114830,850,89.4,14973681,no
37671,RG,SRR7107782_Portugal,chr16,22309407,22424329,114923,659,95.5,15088604,no
39257,RG,SRR7107782_Portugal,chr2,34778528,34893753,115226,687,92.9,15203830,no
39935,RG,SRR7107782_Portugal,chr38,6681691,6796924,115234,1109,95.7,15319064,no
37595,RG,SRR7107782_Portugal,chr15,9994149,10109400,115252,509,86.9,15434316,no
39321,RG,SRR7107782_Portugal,chr2,62511513,62626777,115265,750,95.1,15549581,no
40806,RG,SRR7107782_Portugal,chr8,18530524,18645805,115282,968,95.3,15664863,no
40287,RG,SRR7107782_Portugal,chr5,21205422,21321040,115619,505,91.1,15780482,no
37515,RG,SRR7107782_Portugal,chr14,22150517,22266277,115761,733,93.8,15896243,no
37468,RG,SRR7107782_Portugal,chr12,67273358,67389144,115787,465,71.7,16012030,no
40393,RG,SRR7107782_Portugal,chr5,70970182,71086054,115873,855,92.6,16127903,no
40574,RG,SRR7107782_Portugal,chr6,69547226,69663385,116160,586,82,16244063,no
37374,RG,SRR7107782_Portugal,chr11,46400697,46516868,116172,637,89.5,16360235,no
40779,RG,SRR7107782_Portugal,chr8,6115372,6231629,116258,404,66.5,16476493,no
39872,RG,SRR7107782_Portugal,chr37,13758664,13874967,116304,813,95.4,16592797,no
38148,RG,SRR7107782_Portugal,chr1,3277046,3393437,116392,738,95.9,16709189,no
40655,RG,SRR7107782_Portugal,chr7,33121421,33238029,116609,994,95.6,16825798,no
39583,RG,SRR7107782_Portugal,chr32,33475869,33592566,116698,713,89.7,16942496,no
39856,RG,SRR7107782_Portugal,chr37,4590439,4707195,116757,1128,96.3,17059253,no
40810,RG,SRR7107782_Portugal,chr8,19620978,19737739,116762,952,93.9,17176015,no
37637,RG,SRR7107782_Portugal,chr16,8392196,8509013,116818,534,93.3,17292833,no
39678,RG,SRR7107782_Portugal,chr34,9283942,9400837,116896,1044,94.4,17409729,no
39663,RG,SRR7107782_Portugal,chr34,2596935,2713897,116963,660,88.9,17526692,no
37627,RG,SRR7107782_Portugal,chr16,3949739,4066772,117034,632,89.1,17643726,no
40175,RG,SRR7107782_Portugal,chr4,44846734,44963805,117072,765,94.3,17760798,no
40495,RG,SRR7107782_Portugal,chr6,31570275,31687404,117130,531,92.9,17877928,no
39571,RG,SRR7107782_Portugal,chr31,39577905,39695038,117134,732,88.3,17995062,no
37658,RG,SRR7107782_Portugal,chr16,17910069,18027384,117316,1148,96.9,18112378,no
38869,RG,SRR7107782_Portugal,chr25,43110574,43228080,117507,889,72,18229885,no
37901,RG,SRR7107782_Portugal,chr17,59559170,59676683,117514,598,19.4,18347399,no
39749,RG,SRR7107782_Portugal,chr34,35324018,35441599,117582,814,96.2,18464981,no
37501,RG,SRR7107782_Portugal,chr14,15938400,16056056,117657,926,95.3,18582638,no
38147,RG,SRR7107782_Portugal,chr1,2955639,3073323,117685,403,92.1,18700323,no
38231,RG,SRR7107782_Portugal,chr1,52725840,52843892,118053,825,95.7,18818376,no
39067,RG,SRR7107782_Portugal,chr28,21200893,21319025,118133,846,94.6,18936509,no
39741,RG,SRR7107782_Portugal,chr34,31662368,31780673,118306,998,96.1,19054815,no
40679,RG,SRR7107782_Portugal,chr7,47886038,48004359,118322,948,92.8,19173137,no
37771,RG,SRR7107782_Portugal,chr17,3840577,3959154,118578,692,90.5,19291715,no
38327,RG,SRR7107782_Portugal,chr1,91786868,91905493,118626,461,86.7,19410341,no
38279,RG,SRR7107782_Portugal,chr1,70444384,70563053,118670,642,70,19529011,no
38056,RG,SRR7107782_Portugal,chr19,5093839,5212980,119142,733,86.7,19648153,no
38152,RG,SRR7107782_Portugal,chr1,4871485,4990757,119273,774,95.4,19767426,no
38415,RG,SRR7107782_Portugal,chr20,4755724,4875002,119279,444,81.1,19886705,no
38920,RG,SRR7107782_Portugal,chr26,30640724,30760040,119317,511,94.1,20006022,no
38030,RG,SRR7107782_Portugal,chr18,47173560,47292928,119369,1562,94.7,20125391,no
39011,RG,SRR7107782_Portugal,chr27,37274768,37394254,119487,543,93.4,20244878,no
37235,RG,SRR7107782_Portugal,chr10,25495015,25614504,119490,713,92.6,20364368,no
40842,RG,SRR7107782_Portugal,chr8,31364185,31483727,119543,502,91.6,20483911,no
40085,RG,SRR7107782_Portugal,chr3,59703005,59822595,119591,861,95,20603502,no
40715,RG,SRR7107782_Portugal,chr7,62923116,63042853,119738,907,95.9,20723240,no
38375,RG,SRR7107782_Portugal,chr1,112076621,112196556,119936,415,90.2,20843176,no
39802,RG,SRR7107782_Portugal,chr35,10329035,10448984,119950,1035,95.3,20963126,no
40491,RG,SRR7107782_Portugal,chr6,29625661,29745819,120159,616,74.5,21083285,no
39431,RG,SRR7107782_Portugal,chr30,30862486,30982724,120239,989,95.4,21203524,no
40315,RG,SRR7107782_Portugal,chr5,34688833,34809195,120363,524,93.1,21323887,no
38057,RG,SRR7107782_Portugal,chr19,5381394,5501821,120428,754,93.6,21444315,no
38496,RG,SRR7107782_Portugal,chr21,17432503,17553070,120568,718,94.7,21564883,no
39402,RG,SRR7107782_Portugal,chr30,16830346,16951096,120751,926,83,21685634,no
40446,RG,SRR7107782_Portugal,chr6,5509606,5630510,120905,654,74.3,21806539,no
39029,RG,SRR7107782_Portugal,chr28,3467977,3588977,121001,814,93.8,21927540,no
40845,RG,SRR7107782_Portugal,chr8,32773969,32895298,121330,546,87,22048870,no
40314,RG,SRR7107782_Portugal,chr5,34535688,34657100,121413,880,85.8,22170283,no
38362,RG,SRR7107782_Portugal,chr1,105539734,105661313,121580,792,94,22291863,no
38675,RG,SRR7107782_Portugal,chr22,56162848,56284433,121586,1197,80.1,22413449,no
38915,RG,SRR7107782_Portugal,chr26,29139942,29261539,121598,757,86.1,22535047,no
